,City Name,Latitude,Longitude,Temperature,Latitude Humidity,Cloudiness,Wind Speed
1,hithadhoo,-20.84158733766958,85.60390786480872,82.76,68.0,77.0,3.94
2,sao filipe,13.293487733493635,-34.982079598394904,75.88,60.0,0.0,6.08
4,bluff,-71.21412226300666,172.3633019209658,57.0,84.0,64.0,18.01
5,saint-philippe,-48.40980778538813,62.306577522167316,75.02,65.0,47.0,4.61
6,norman wells,68.73735152990844,-120.15263118792986,-13.0,77.0,90.0,3.51
7,victoria,-4.478568303021007,56.27463267148124,62.56,82.0,58.0,1.01
8,tutoia,4.059706616991278,-41.13739394602811,84.2,79.0,75.0,13.8
9,karratha,-23.227534757982284,116.30159384665757,85.21,60.0,0.0,21.77
10,dali,25.90636091171099,99.63910009933704,45.86,78.0,1.0,6.38
11,albany,-75.22729723903562,114.70260058777211,10.26,49.0,0.0,18.01
12,ushuaia,-88.31798209358412,-82.66899192057944,59.0,47.0,75.0,17.27
13,sao joao da barra,-29.18624741280508,-30.134628287502153,84.2,54.0,40.0,11.5
14,puerto ayora,-11.683788605027871,-104.10332767162406,75.99,95.0,16.0,1.99
15,karratha,-20.228552223816465,116.51635324810798,85.21,60.0,0.0,21.77
16,castro,-44.29505294211471,-101.85227752923139,71.31,84.0,99.0,4.59
17,jamestown,-48.02720113821883,-14.67063008865864,15.91,86.0,90.0,2.53
18,pevek,84.02650009968815,172.77812500058224,-20.63,88.0,78.0,4.76
19,carnarvon,-26.53794965703412,92.77089667175608,77.0,69.0,0.0,21.85
20,arraial do cabo,-31.705469381318842,-28.874077950043045,84.2,61.0,75.0,19.57
21,vaini,-24.151203889807945,-174.92234855442084,71.6,100.0,75.0,2.3
22,palmer,58.69249415276687,-146.52397782921253,15.37,51.0,0.0,4.0
23,tasiilaq,75.3109706086704,-32.54526522963491,10.4,52.0,0.0,2.3
24,high level,57.95607552186203,-116.18179882666583,-14.8,84.0,90.0,4.61
25,garden city,39.18521609670606,-100.64342185917134,24.62,74.0,90.0,3.44
26,high level,59.88472632871279,-118.67312594674115,-14.8,84.0,90.0,4.61
27,bredasdorp,-77.0060456215804,17.053180379401056,69.8,49.0,75.0,13.8
28,salalah,17.472249312170206,52.185599344176126,77.0,47.0,0.0,9.22
29,pangnirtung,66.12070643477,-66.02790517324323,13.78,78.0,57.0,2.82
30,rikitea,-63.24207794944033,-120.8012751353664,79.21,65.0,95.0,6.87
31,mount isa,-25.030818144626153,138.34343744160407,84.2,42.0,100.0,4.61
32,arraial do cabo,-33.43095877043928,-38.195353181919444,84.2,61.0,75.0,19.57
33,slave lake,56.704206102905744,-113.95617600637506,-11.2,77.0,90.0,12.66
34,provideniya,67.67869206540499,-173.96017973740553,4.93,84.0,2.0,4.25
35,provideniya,41.718523119775966,-176.29416510853235,4.93,84.0,2.0,4.25
36,hofn,59.67228746699931,-16.60331679873127,33.8,51.0,75.0,28.77
37,wrexham,53.132021555475774,-3.042541830159081,33.22,93.0,75.0,4.61
38,muhos,64.58236204005053,26.013829682747343,24.03,93.0,90.0,2.3
39,punta arenas,-74.62691032159844,-103.92527437061321,60.8,41.0,0.0,23.02
40,belaya gora,66.77079059837553,145.27949059711796,-35.36,82.0,100.0,2.77
41,jamestown,-37.121330693622106,-6.387444367992686,15.91,86.0,90.0,2.53
42,guadalupe victoria,24.29002098693354,-103.99438702041095,45.5,76.0,1.0,2.86
43,chifeng,43.40535593837129,119.06949135634369,17.56,89.0,0.0,0.76
44,svetlaya,46.79518354651367,138.6605218509573,21.16,87.0,13.0,9.86
45,rikitea,-57.199646051541805,-134.2290993044155,79.21,65.0,95.0,6.87
46,margate,-39.8836809766211,42.105991390230656,39.56,66.0,100.0,5.99
47,barrow,72.48246841494068,-159.87711480561956,-0.4,78.0,1.0,20.71
48,albany,-88.40397415936938,118.06146408569157,10.26,49.0,0.0,18.01
49,batemans bay,-42.093290185219175,156.40176690687485,69.62,96.0,88.0,1.99
50,sharan,54.89938393176092,54.319211790628856,34.54,98.0,100.0,10.51
51,stromness,59.86963708891187,-3.462603930915776,35.6,87.0,40.0,11.5
52,ushuaia,-66.8433739456772,-48.0455836378311,59.0,47.0,75.0,17.27
53,carnarvon,-25.363898994731088,95.40798005663896,77.0,69.0,0.0,21.85
54,faanui,-5.020182953781614,-156.46000183845234,80.96,71.0,44.0,12.75
55,seoni malwa,22.450271080560384,77.51364787939036,69.06,31.0,0.0,3.69
56,upernavik,82.14763270739388,-50.39162978215117,16.63,91.0,0.0,13.38
57,qaanaaq,74.73725092355059,-79.73116119207816,9.97,78.0,0.0,3.89
58,rikitea,-38.485410436770294,-137.37920644580078,79.21,65.0,95.0,6.87
59,martil,35.39892256291499,-4.6244348483090505,64.4,68.0,75.0,13.8
60,bredasdorp,-50.32496123706351,21.94022492034236,69.8,49.0,75.0,13.8
61,provideniya,41.49876212563774,-174.32458527853834,4.93,84.0,2.0,4.25
63,vaini,-82.034107756085,-170.76792225703772,71.6,100.0,75.0,2.3
64,buala,0.6439816294647329,162.960668714103,78.84,71.0,36.0,3.58
65,saint george,28.135515657334736,-54.43079993338564,30.2,93.0,1.0,2.15
66,san patricio,7.547916409663856,-111.6153492355567,70.34,100.0,90.0,10.36
67,hay river,61.49971902346189,-117.30360391363092,-29.2,68.0,7.0,3.44
68,khatanga,88.1510728340869,102.75566434279602,-20.4,87.0,100.0,10.47
69,port alfred,-72.14633659861218,44.15999457816022,69.21,66.0,93.0,13.33
70,qaanaaq,87.59930079890091,-66.42511629455518,9.97,78.0,0.0,3.89
71,rikitea,-39.30849834769121,-129.4603383881278,79.21,65.0,95.0,6.87
72,port alfred,-54.02385613639364,38.40850569626707,69.21,66.0,93.0,13.33
73,mataura,-81.96161141587828,-155.92693121939863,57.0,84.0,48.0,18.01
74,luganville,-15.132742893502382,166.73932493326856,76.8,89.0,100.0,3.89
75,casas grandes,30.64617721387387,-108.34196340241809,45.0,59.0,0.0,1.99
76,fortuna,38.327041263390356,-126.29712945057994,43.54,93.0,90.0,1.63
77,khatanga,77.75252473377515,105.11224038967748,-20.4,87.0,100.0,10.47
78,rikitea,-82.02174837452064,-134.86987722998,79.21,65.0,95.0,6.87
79,mar del plata,-40.04710630833031,-55.060990123146226,80.6,74.0,0.0,8.05
80,ancud,-38.685960753545395,-101.71334925077306,60.91,67.0,0.0,9.22
81,okhotsk,58.36163155920221,141.2568200347739,-12.87,85.0,100.0,12.97
82,dikson,79.12240649675945,79.7412158954429,-12.64,90.0,100.0,10.02
83,port hardy,47.4287768954255,-133.29223213783715,35.19,100.0,90.0,4.61
84,naberera,-4.300941428808102,36.70421321346137,77.4,47.0,97.0,8.99
85,ust-tsilma,64.43012821672124,51.65859438630136,1.0,92.0,100.0,7.56
87,albany,-67.99847830998452,112.0376077043951,10.26,49.0,0.0,18.01
88,porto novo,14.879704314208965,-32.26623616378953,91.4,46.0,46.0,8.05
89,homer,59.70125052077515,-153.45601514180098,35.17,81.0,90.0,6.55
90,coquimbo,-29.641828735563855,-76.61882920917115,64.4,82.0,75.0,4.61
91,hobart,-84.81265754059176,143.2771070138847,64.35,88.0,74.0,2.95
92,bara,14.583980964489754,30.07758797836044,86.0,21.0,99.0,10.36
93,victoria,-1.7821304737917956,62.660440452289436,62.56,82.0,58.0,1.01
94,airai,14.853638455372717,145.60015351965734,62.02,100.0,100.0,1.97
95,alice springs,-27.003853382151746,135.89348209034216,76.19,88.0,100.0,14.97
96,punta arenas,-68.14275490366751,-112.26867237145196,60.8,41.0,0.0,23.02
98,challans,45.6048924560657,-2.966652922322538,46.09,76.0,75.0,14.97
99,salinopolis,4.507647578297153,-44.53058644112377,81.37,83.0,88.0,11.32
100,tuktoyaktuk,76.3705517915624,-135.19179227639987,-11.4,87.0,96.0,6.98
101,atuona,-4.7753875089671,-133.01821167542232,77.32,78.0,10.0,16.37
102,san patricio,4.921123505438686,-114.98769156164057,70.34,100.0,90.0,10.36
103,uglovskoye,50.95109250092099,80.0811872929014,-28.44,84.0,1.0,6.51
104,bredasdorp,-37.43973245799792,19.45286739262579,69.8,49.0,75.0,13.8
105,busselton,-37.35860429733319,97.93535105784832,60.94,79.0,0.0,8.43
106,severomuysk,55.97967004040035,113.37293043031758,-20.67,87.0,92.0,1.99
107,pangnirtung,67.30745033488535,-60.232965661491804,13.78,78.0,57.0,2.82
108,honningsvag,76.84262793659911,25.950047327407503,22.01,92.0,94.0,24.65
109,vaini,-50.612035357547946,-176.26339969944095,71.6,100.0,75.0,2.3
110,hilo,26.7777844359738,-144.91740631667574,64.45,77.0,1.0,8.05
111,belyy yar,61.68867058443294,84.11088339739626,8.6,66.0,0.0,8.95
112,saint george,32.024981509650345,-57.703178677807074,30.2,93.0,1.0,2.15
113,rikitea,-44.017647671042454,-114.91906493234784,79.21,65.0,95.0,6.87
114,port alfred,-87.33880698354153,48.888067790986554,69.21,66.0,93.0,13.33
115,homer,57.547121631832596,-148.26562941206606,35.17,81.0,90.0,6.55
116,tanout,15.568650912170114,8.703847876839404,82.65,11.0,100.0,15.43
117,pisco,-24.358740009590605,-96.52715502498609,72.79,73.0,0.0,1.14
118,nyagan,61.71907877972504,65.14118742685184,-22.72,86.0,100.0,8.52
119,artvin,41.27403902653222,41.44584212186862,55.4,28.0,0.0,13.8
120,adrar,27.09621436227019,1.8079998863384503,82.4,11.0,100.0,13.87
121,albany,-46.97626495673585,121.00774752702495,10.26,49.0,0.0,18.01
122,jamestown,-38.93704899034819,-12.968923728692204,15.91,86.0,90.0,2.53
123,sioux lookout,53.42126806986565,-91.95348766999727,15.8,86.0,90.0,4.61
124,faanui,-4.471683131435611,-153.28770659021012,80.96,71.0,44.0,12.75
125,husavik,67.85756718444077,-16.334741770413785,28.4,80.0,75.0,13.8
126,lamlash,55.49308386230447,-5.253679699075178,39.09,70.0,0.0,2.3
127,albany,-75.87925421560604,103.1135948208086,10.26,49.0,0.0,18.01
128,chuy,-60.73931082239372,-24.490305528215487,80.98,60.0,54.0,6.8
129,luau,-9.22349080146364,22.426512262007407,70.56,89.0,100.0,6.4
130,ushuaia,-69.77868704772564,-42.20466472364467,59.0,47.0,75.0,17.27
131,qaanaaq,75.72337981112477,-73.60813932228103,9.97,78.0,0.0,3.89
132,victoria,-8.846123832457252,61.41773270603343,62.56,82.0,58.0,1.01
133,sur,18.413479028144494,60.98835767657965,68.04,47.0,0.0,12.86
134,albany,-59.18891230118474,110.81967681747017,10.26,49.0,0.0,18.01
135,hermanus,-81.06321500110676,5.489997318484399,73.99,53.0,8.0,8.01
136,katsuura,28.403670342704828,144.00370544042494,43.48,93.0,75.0,19.57
137,te anau,-42.94381604141897,167.21295478866125,54.91,86.0,100.0,7.45
138,carnarvon,-33.707920547804484,85.95330113908824,77.0,69.0,0.0,21.85
139,belmonte,-15.244515589010831,-35.68231761346195,82.4,65.0,75.0,5.75
140,iskateley,69.80542695157939,55.06549667339408,-3.96,90.0,76.0,13.04
141,ilula,-7.712410556267869,36.31874970720611,73.02,68.0,100.0,4.7
142,avarua,-57.894628560685696,-166.87654136166245,82.4,69.0,20.0,12.66
144,atuona,-3.443564133945486,-118.71395292021603,77.32,78.0,10.0,16.37
145,ushuaia,-88.11271092435409,-37.31603770404607,59.0,47.0,75.0,17.27
146,dayong,29.014584227348863,110.44583064047004,59.0,72.0,100.0,6.71
148,grindavik,61.25402252957062,-25.54084816537386,28.4,80.0,40.0,23.02
149,acapulco,9.059345116050409,-101.67751710877371,75.2,94.0,90.0,3.44
150,coquimbo,-30.300276474318522,-83.51468234459462,64.4,82.0,75.0,4.61
151,bontang,1.4782868438509382,115.86345421680983,78.3,85.0,100.0,1.83
152,ushuaia,-86.50213125728199,-19.719508478970255,59.0,47.0,75.0,17.27
153,norman wells,84.75816338772825,-116.32489000575517,-13.0,77.0,90.0,3.51
154,gonaives,19.493675835267595,-72.86855683741837,78.84,62.0,45.0,4.63
155,kayerkan,70.44640776189507,87.01867516834648,-31.4,77.0,88.0,1.86
156,puerto ayora,-7.171973262975783,-99.84064904424159,75.99,95.0,16.0,1.99
157,ushuaia,-86.43168856164161,-61.09605001334644,59.0,47.0,75.0,17.27
158,canaries,13.984991169255593,-62.2750711100838,69.6,73.0,20.0,14.97
160,lorengau,6.869056088136276,149.54583382784887,81.59,72.0,100.0,4.12
161,khatanga,72.6719534801201,107.66578469570868,-20.4,87.0,100.0,10.47
162,cap-aux-meules,48.46903527196065,-62.21359342692634,23.0,74.0,100.0,2.3
